datetime,team.name,period,player.name,pass.recipient.name,pass.length
2023-08-13 00:04:38.378,Montpellier,2,Joris Chotard,Wahbi Khazri,23.05862
2023-08-13 00:04:56.365,Le Havre,2,Loïc Négo,Nabil Alioui,20.282997
2023-08-13 00:04:57.232,Le Havre,1,Nabil Alioui,Yoann Salmier,32.736065
2023-08-13 00:04:57.579,Le Havre,2,Nabil Alioui,Issa Soumaré,22.596682
2023-08-13 00:05:03.284,Montpellier,2,Issiaga Sylla,Christopher Jullien,24.570307
2023-08-13 00:05:09.444,Montpellier,2,Christopher Jullien,Boubakar Kouyate,20.06315
2023-08-13 00:05:12.786,Montpellier,2,Boubakar Kouyate,Akor Jerome Adams,42.40955
2023-08-13 00:05:33.189,Le Havre,2,Loïc Négo,Rassoul N'Diaye,24.884735
2023-08-13 00:05:35.872,Le Havre,2,Rassoul N'Diaye,Gautier Lloris,28.54908
2023-08-13 00:05:38.113,Le Havre,2,Gautier Lloris,Josue Casimir,28.166115
2023-08-13 00:05:45.442,Le Havre,2,Josue Casimir,Nabil Alioui,27.557213
2023-08-13 00:05:46.576,Montpellier,2,Christopher Jullien,Téji Savanier,17.801123
2023-08-13 00:05:50.457,Montpellier,2,Téji Savanier,Akor Jerome Adams,56.33977
2023-08-13 00:05:53.308,Le Havre,2,Arouna Sangante,Gautier Lloris,12.238464
2023-08-13 00:05:57.776,Montpellier,2,Moussa Al Tamari,Akor Jerome Adams,15.074814
2023-08-13 00:05:58.522,Montpellier,2,Akor Jerome Adams,Moussa Al Tamari,7.180529
2023-08-13 00:06:31.349,Le Havre,2,Arthur Desmas,Issa Soumaré,83.02174
2023-08-13 00:06:36.962,Montpellier,2,Christopher Jullien,Benjamin Lecomte,14.400695
2023-08-13 00:06:39.163,Montpellier,2,Benjamin Lecomte,Christopher Jullien,14.120907
2023-08-13 00:06:40.363,Montpellier,2,Christopher Jullien,Boubakar Kouyate,21.51883
2023-08-13 00:06:43.034,Montpellier,2,Boubakar Kouyate,Jordan Ferri,16.577394
2023-08-13 00:06:49.968,Montpellier,2,Jordan Ferri,Issiaga Sylla,11.356936
2023-08-13 00:06:50.455,Le Havre,2,Rassoul N'Diaye,Loïc Négo,13.4
2023-08-13 00:06:53.215,Le Havre,2,Loïc Négo,Rassoul N'Diaye,8.633076
2023-08-13 00:06:55.825,Le Havre,2,Rassoul N'Diaye,Issa Soumaré,43.156113
2023-08-13 00:06:58.060,Montpellier,2,Boubakar Kouyate,Jordan Ferri,5.333854
2023-08-13 00:07:05.627,Montpellier,1,Téji Savanier,Jordan Ferri,6.074537
2023-08-13 00:07:06.235,Montpellier,2,Issiaga Sylla,Joris Chotard,12.32396
2023-08-13 00:07:08.080,Montpellier,1,Jordan Ferri,Issiaga Sylla,35.806843
2023-08-13 00:07:09.063,Montpellier,2,Joris Chotard,Christopher Jullien,30.050957
2023-08-13 00:07:11.111,Montpellier,2,Christopher Jullien,Jordan Ferri,10.427847
2023-08-13 00:07:11.115,Montpellier,1,Issiaga Sylla,Joris Chotard,13.313527
2023-08-13 00:07:13.062,Montpellier,2,Jordan Ferri,Issiaga Sylla,21.902054
2023-08-13 00:07:13.912,Montpellier,1,Joris Chotard,Falaye Sacko,42.440666
2023-08-13 00:07:14.662,Montpellier,2,Issiaga Sylla,Boubakar Kouyate,17.83704
2023-08-13 00:07:18.301,Montpellier,1,Falaye Sacko,Christopher Jullien,12.022063
2023-08-13 00:07:20.400,Montpellier,1,Christopher Jullien,Boubakar Kouyate,30.192053
2023-08-13 00:07:20.815,Montpellier,2,Boubakar Kouyate,Issiaga Sylla,21.557365
2023-08-13 00:07:23.291,Montpellier,1,Boubakar Kouyate,Téji Savanier,32.747063
2023-08-13 00:07:23.451,Montpellier,2,Issiaga Sylla,Joris Chotard,12.298374
